date
Sat Oct 11 16:15:14 WEDT 2025
make -C ./compare benchmark
make[1]: Entering directory 'c:/Users/User/src/modernc.org/builder/.exclude/modernc.org/quickjs/compare'
go test -vet=off -timeout 24h -run @ -bench . -benchtime 5s | go run benchreport.go
goos: windows
goarch: amd64
pkg: modernc.org/quickjs/compare
cpu: Intel(R) Pentium(R) CPU G4400T @ 2.90GHz
BenchmarkCCGO/array_for.js-2         	  398116	     15866 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/array_for_in.js-2      	  103334	     55501 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/array_for_of.js-2      	  216411	     27672 ns/op	      16 B/op	       1 allocs/op
BenchmarkCCGO/array_hole_length_decr.js-2         	   12373	    484773 ns/op	      40 B/op	       3 allocs/op
BenchmarkCCGO/array_length_decr.js-2              	   15061	    394758 ns/op	      40 B/op	       3 allocs/op
BenchmarkCCGO/array_pop.js-2                      	   15762	    383006 ns/op	    8040 B/op	     503 allocs/op
BenchmarkCCGO/array_prop_create.js-2              	   51800	    119996 ns/op	      56 B/op	       2 allocs/op
BenchmarkCCGO/array_push.js-2                     	   18481	    324493 ns/op	    8000 B/op	     500 allocs/op
BenchmarkCCGO/array_read.js-2                     	 6227260	       955.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/array_slice.js-2                    	   37376	    160611 ns/op	      40 B/op	       3 allocs/op
BenchmarkCCGO/array_write.js-2                    	10117045	       596.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/date_now.js-2                       	11074771	       538.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkCCGO/empty_do_loop.js-2                  	99053379	        58.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/empty_down_loop.js-2                	120512536	        49.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/empty_down_loop2.js-2               	45623976	       131.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/empty_loop.js-2                     	133721362	        44.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/float_arith.js-2                    	   48493	    122844 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/float_toExponential.js-2            	 2179706	      2764 ns/op	      48 B/op	       3 allocs/op
BenchmarkCCGO/float_toFixed.js-2                  	 2343375	      2580 ns/op	      48 B/op	       3 allocs/op
BenchmarkCCGO/float_toPrecision.js-2              	 2109213	      2828 ns/op	      48 B/op	       3 allocs/op
BenchmarkCCGO/float_toString.js-2                 	 1556395	      3799 ns/op	      72 B/op	       6 allocs/op
BenchmarkCCGO/float_to_string.js-2                	 1996386	      2977 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/func_call.js-2                      	 4273039	      1369 ns/op	      96 B/op	       8 allocs/op
BenchmarkCCGO/func_closure_call.js-2              	 4418889	      1317 ns/op	      96 B/op	       8 allocs/op
BenchmarkCCGO/global_destruct.js-2                	  987289	      6113 ns/op	      16 B/op	       1 allocs/op
BenchmarkCCGO/global_func_call.js-2               	 3650458	      1630 ns/op	      96 B/op	       8 allocs/op
BenchmarkCCGO/global_read.js-2                    	14262753	       420.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/global_write.js-2                   	14012146	       428.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/int_arith.js-2                      	   57906	    102655 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/int_toString.js-2                   	 3325524	      1797 ns/op	      72 B/op	       6 allocs/op
BenchmarkCCGO/int_to_string.js-2                  	 4783357	      1274 ns/op	      48 B/op	       4 allocs/op
BenchmarkCCGO/int_to_string2.js-2                 	 5872536	      1018 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/local_destruct.js-2                 	  435524	     13695 ns/op	      16 B/op	       1 allocs/op
BenchmarkCCGO/map_set_bigint.js-2                 	    3225	   1841850 ns/op	   64056 B/op	    4002 allocs/op
BenchmarkCCGO/map_set_int.js-2                    	    5604	   1065246 ns/op	   32056 B/op	    2002 allocs/op
BenchmarkCCGO/map_set_string.js-2                 	    2720	   2153660 ns/op	   64056 B/op	    4002 allocs/op
BenchmarkCCGO/math_min.js-2                       	   13843	    430324 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkCCGO/prop_clone.js-2                     	  734784	      7854 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/prop_create.js-2                    	 1000000	      5635 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/prop_delete.js-2                    	  495066	     11821 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/prop_read.js-2                      	15007548	       398.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/prop_update.js-2                    	 5990960	       989.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/prop_write.js-2                     	16379984	       365.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/regexp_ascii.js-2                   	    1705	   3565197 ns/op	   24000 B/op	    2000 allocs/op
BenchmarkCCGO/regexp_utf16.js-2                   	    1708	   3576917 ns/op	   24000 B/op	    2000 allocs/op
BenchmarkCCGO/string_build1.js-2                  	   45507	    130494 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build1x.js-2                 	   45632	    130445 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build2.js-2                  	   19756	    303649 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build2c.js-2                 	   45939	    132572 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build3.js-2                  	   16342	    369907 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build4.js-2                  	   18122	    327320 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_build_large1.js-2            	     756	   7939423 ns/op	      10 B/op	       0 allocs/op
BenchmarkCCGO/string_build_large2.js-2            	     690	   8727407 ns/op	       1 B/op	       0 allocs/op
BenchmarkCCGO/string_to_float.js-2                	11477451	       526.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/string_to_int.js-2                  	12249595	       505.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/typed_array_read.js-2               	 6074154	       978.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkCCGO/typed_array_write.js-2              	 9921970	       606.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/array_for.js-2                       	  516495	     11564 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/array_for_in.js-2                    	  153764	     36629 ns/op	       3 B/op	       0 allocs/op
BenchmarkQJS/array_for_of.js-2                    	  457164	     13046 ns/op	       1 B/op	       0 allocs/op
BenchmarkQJS/array_hole_length_decr.js-2          	   17624	    339647 ns/op	      32 B/op	       0 allocs/op
BenchmarkQJS/array_length_decr.js-2               	   28738	    208338 ns/op	      19 B/op	       0 allocs/op
BenchmarkQJS/array_pop.js-2                       	   34323	    174750 ns/op	      16 B/op	       0 allocs/op
BenchmarkQJS/array_prop_create.js-2               	   28430	    209602 ns/op	      17 B/op	       0 allocs/op
